"","tr","ppt_sum_1weeklag","fit","lwrS","uprS"
"11908...32","Any WASH Intervention",0.449999988079071,4.47324493060514,3.64005159497667,5.48629448870242
"2600...33","Any WASH Intervention",0.46000000834465,4.47299557605763,3.63291023919541,5.49626505175504
"2600...34","Any WASH Intervention",0.46000000834465,4.47299557605763,3.64000690979472,5.48575539260417
"2752...35","Any WASH Intervention",0.5,4.47199829277532,3.63273732845303,5.49409714031967
"2752...36","Any WASH Intervention",0.5,4.47199829277532,3.63982764412162,5.4836002965619
"5330...37","Any WASH Intervention",0.709999978542328,4.46676603822758,3.6318155668601,5.48274972054828
"5330...38","Any WASH Intervention",0.709999978542328,4.46676603822758,3.63887263431591,5.4723197962025
"5194...39","Any WASH Intervention",0.730000019073486,4.46626803245104,3.63172654806709,5.4816720065875
"5194...40","Any WASH Intervention",0.730000019073486,4.46626803245104,3.63878045917712,5.47124842382396
"11496...41","Any WASH Intervention",0.739999979734421,4.46601905095639,3.6316819582043,5.48113334847482
"11496...42","Any WASH Intervention",0.739999979734421,4.46601905095639,3.6387342918171,5.4707129344131
"4925...43","Any WASH Intervention",0.759999990463257,4.46552112556149,3.6315926164499,5.48005641888636
"4925...44","Any WASH Intervention",0.759999990463257,4.46552112556149,3.63864179638825,5.46964233811478
"505...45","Any WASH Intervention",0.769999973475933,4.46527218333142,3.6315478647909,5.47951815107829
"505...46","Any WASH Intervention",0.769999973475933,4.46527218333142,3.63859546856323,5.46910723487336
"3827...47","Any WASH Intervention",0.819999992847443,4.4640276687102,3.63132329587399,5.47682876539082
"3827...48","Any WASH Intervention",0.819999992847443,4.4640276687102,3.6383630254896,5.46643365133043
"1881...49","Any WASH Intervention",0.889999985694885,4.46228590672598,3.63100662502183,5.47306911757425
"1881...50","Any WASH Intervention",0.889999985694885,4.46228590672598,3.63803534961347,5.46269606844602
"11166...51","Any WASH Intervention",0.930000007152557,4.46129090567814,3.63082447478592,5.4709236252614
"11166...52","Any WASH Intervention",0.930000007152557,4.46129090567814,3.63784692066871,5.46056315423692
"11395...53","Any WASH Intervention",0.949999988079071,4.46079348558647,3.63073307292833,5.46985166669873
"11395...54","Any WASH Intervention",0.949999988079071,4.46079348558647,3.63775238216441,5.45949747641023
"1310...55","Any WASH Intervention",1.1099999435246,4.45681603537791,3.62999397709429,5.46129488693209
"1310...56","Any WASH Intervention",1.1099999435246,4.45681603537791,3.63698825835572,5.45099074298286
"11809...57","Any WASH Intervention",1.13999997079372,4.45607064135985,3.62985383007858,5.45969423416196
"11809...58","Any WASH Intervention",1.13999997079372,4.45607064135985,3.63684343156142,5.44939943436898
"1574...59","Any WASH Intervention",1.15000003576279,4.45582220188883,3.62980700377523,5.45916094347797
"1574...60","Any WASH Intervention",1.15000003576279,4.45582220188883,3.63679504623784,5.44886925564328
"1216...61","Any WASH Intervention",1.15999994426966,4.4555737796009,3.62976012296435,5.45862779279453
"1216...62","Any WASH Intervention",1.15999994426966,4.4555737796009,3.636746606889,5.44833921548017
"1863...63","Any WASH Intervention",1.22000002861023,4.45408350940432,3.62947767318452,5.45543162140698
"1863...64","Any WASH Intervention",1.22000002861023,4.45408350940432,3.63645481541659,5.44516167822459
"2347...65","Any WASH Intervention",1.23000003769994,4.45383517771331,3.62943040427216,5.45489938779676
"2347...66","Any WASH Intervention",1.23000003769994,4.45383517771331,3.63640599116495,5.44463254543494
