"","variable","tr","value","fit","lwrS","uprS"
"9782...2064","temp_min_1weeklag","Any WASH Intervention",25.5217834472656,3.39574364426599,2.75831730904116,4.17415127892088
"615...2065","temp_min_1weeklag","Any WASH Intervention",25.5287414550781,3.39681507959988,2.75397088774644,4.18325985301756
"615...2066","temp_min_1weeklag","Any WASH Intervention",25.5287414550781,3.39681507959988,2.75956187539441,4.17490823531308
"1222...2067","temp_min_1weeklag","Any WASH Intervention",25.5298095703125,3.39697971330149,2.7541622114623,4.18337570662252
"1222...2068","temp_min_1weeklag","Any WASH Intervention",25.5298095703125,3.39697971330149,2.75975302653657,4.1750246875972
"9687...2069","temp_min_1weeklag","Any WASH Intervention",25.5320068359375,3.39731852139475,2.75455587417419,4.1836142468906
"9687...2070","temp_min_1weeklag","Any WASH Intervention",25.5320068359375,3.39731852139475,2.76014633461784,4.17526445849058
"1350...2071","temp_min_1weeklag","Any WASH Intervention",25.5335632324219,3.39755861879468,2.75483478567972,4.18378338634711
"1350...2072","temp_min_1weeklag","Any WASH Intervention",25.5335632324219,3.39755861879468,2.76042499523523,4.17543446887061
"1309...2073","temp_min_1weeklag","Any WASH Intervention",25.5391784667969,3.39842559926821,2.75584151586721,4.18439481204398
"1309...2074","temp_min_1weeklag","Any WASH Intervention",25.5391784667969,3.39842559926821,2.76143082239381,4.17604903140127
"1295...2075","temp_min_1weeklag","Any WASH Intervention",25.5393615722656,3.39845389005673,2.75587435616072,4.18441478143158
"1295...2076","temp_min_1weeklag","Any WASH Intervention",25.5393615722656,3.39845389005673,2.76146363329724,4.17606910293625
"593...2077","temp_min_1weeklag","Any WASH Intervention",25.5411315917969,3.39872743177753,2.75619185176183,4.18460792182797
"593...2078","temp_min_1weeklag","Any WASH Intervention",25.5411315917969,3.39872743177753,2.76178084497886,4.17626323029796
"9686...2079","temp_min_1weeklag","Any WASH Intervention",25.5413757324219,3.3987651707874,2.75623564986369,4.18463457653572
"9686...2080","temp_min_1weeklag","Any WASH Intervention",25.5413757324219,3.3987651707874,2.76182460394571,4.17629002107347
"599...2081","temp_min_1weeklag","Any WASH Intervention",25.5423828125,3.39892086756598,2.75641633138478,4.18474456477008
"599...2082","temp_min_1weeklag","Any WASH Intervention",25.5423828125,3.39892086756598,2.76200512410232,4.17640057041958
"9485...2083","temp_min_1weeklag","Any WASH Intervention",25.5431762695313,3.39904356424313,2.75655870278386,4.18483126476963
"9485...2084","temp_min_1weeklag","Any WASH Intervention",25.5431762695313,3.39904356424313,2.76214736844232,4.17648771231683
"8244...2085","temp_min_1weeklag","Any WASH Intervention",25.5439697265625,3.3991662842653,2.75670108850424,4.18491800233154
"8244...2086","temp_min_1weeklag","Any WASH Intervention",25.5439697265625,3.3991662842653,2.76228962717119,4.17657489160854
"10946...2087","temp_min_1weeklag","Any WASH Intervention",25.5451599121094,3.3993504080698,2.7569146939157,4.18504817913242
"10946...2088","temp_min_1weeklag","Any WASH Intervention",25.5451599121094,3.3993504080698,2.76250304222225,4.17670573068894
"581...2089","temp_min_1weeklag","Any WASH Intervention",25.5459533691406,3.39947318645317,2.75705711539623,4.18513501065743
"581...2090","temp_min_1weeklag","Any WASH Intervention",25.5459533691406,3.39947318645317,2.76264533688051,4.1767930035233
"9655...2091","temp_min_1weeklag","Any WASH Intervention",25.5473266601563,3.39968574266674,2.75730364786879,4.18528538487108
"9655...2092","temp_min_1weeklag","Any WASH Intervention",25.5473266601563,3.39968574266674,2.76289165001336,4.17694414114345
"9459...2093","temp_min_1weeklag","Any WASH Intervention",25.5482116699219,3.39982276039026,2.75746254700403,4.18538235242426
"9459...2094","temp_min_1weeklag","Any WASH Intervention",25.5482116699219,3.39982276039026,2.7630504079042,4.17704160040199
"3074...2095","temp_min_1weeklag","Any WASH Intervention",25.5497985839844,3.40006852006492,2.75774751400188,4.18555634257216
"3074...2096","temp_min_1weeklag","Any WASH Intervention",25.5497985839844,3.40006852006492,2.7633351218483,4.17721647170221
"9692...2097","temp_min_1weeklag","Any WASH Intervention",25.5548645019531,3.40085368533718,2.7586575970333,4.18611278155127
"9692...2098","temp_min_1weeklag","Any WASH Intervention",25.5548645019531,3.40085368533718,2.76424439888315,4.17777571905617
"289...2099","temp_min_1weeklag","Any WASH Intervention",25.557275390625,3.40122768246543,2.75909091188841,4.18637813321333
"289...2100","temp_min_1weeklag","Any WASH Intervention",25.557275390625,3.40122768246543,2.76467733114405,4.17804240480022
