"","date","avg_temp"
"157",2014-02-03,19.7301547751442
"158",2014-02-04,19.1103255696102
"159",2014-02-05,20.3561029380052
"160",2014-02-06,21.163504885123
"161",2014-02-07,21.5634468920975
"162",2014-02-08,22.7427844700377
"163",2014-02-09,23.0773357210851
"164",2014-02-10,21.2879312124163
"165",2014-02-11,21.8941570101476
"166",2014-02-12,20.5328912680833
"167",2014-02-13,20.081350294047
"168",2014-02-14,21.0412308653823
"169",2014-02-15,20.4002018781115
"170",2014-02-16,19.1833202855444
"171",2014-02-17,17.4548608822026
"172",2014-02-18,18.0110053703236
"173",2014-02-19,19.441493855666
"174",2014-02-20,20.0641777543992
"175",2014-02-21,20.6449295573431
"176",2014-02-22,21.6833792220155
"177",2014-02-23,22.809303124846
"178",2014-02-24,22.8211604073221
